Test_Point,Actual_Label,Predicted_Label,Correct
1,4.705696,1,Yes
2,3.849410,1,Yes
3,3.533541,1,Yes
4,2.756766,1,Yes
5,3.109842,1,Yes
6,2.343200,1,Yes
7,1.718596,1,Yes
8,4.043195,1,Yes
9,1.492437,1,Yes
10,2.659085,0,No
11,0.894946,1,Yes
12,4.906397,1,Yes
13,3.485227,1,Yes
14,4.962904,1,Yes
15,4.948018,1,Yes
16,2.541174,1,Yes
17,3.984282,1,Yes
18,2.216483,1,Yes
19,3.263539,1,Yes
20,1.097511,1,Yes
21,4.302564,1,Yes
22,3.401659,1,Yes
23,1.033081,1,Yes
24,1.018143,1,Yes
25,3.300693,1,Yes
26,1.553812,1,Yes
27,2.250200,1,Yes
28,2.150370,1,Yes
29,2.123915,1,Yes
30,1.388455,1,Yes
31,1.006655,1,Yes
32,2.776640,1,Yes
33,4.297786,1,Yes
34,2.482283,1,Yes
35,4.342854,1,Yes
36,1.392325,1,Yes
37,4.620477,1,Yes
38,1.397806,1,Yes
39,2.598305,1,Yes
40,1.309945,1,Yes
41,2.324399,1,Yes
42,4.740305,1,Yes
43,3.482368,1,Yes
44,2.684443,1,Yes
45,3.528924,1,Yes
46,4.900767,1,Yes
47,2.092555,1,Yes
48,2.549891,1,Yes
49,3.520231,1,Yes
50,1.661259,1,Yes
51,4.437512,1,Yes
52,1.293224,1,Yes
53,3.304333,1,Yes
54,3.373119,1,Yes
55,2.514895,1,Yes
56,2.418095,0,No
57,4.778614,1,Yes
58,1.683311,1,Yes
59,2.270750,1,Yes
60,4.795402,1,Yes
61,3.331641,1,Yes
62,1.128457,1,Yes
63,1.864912,1,Yes
64,3.531082,1,Yes
65,1.816836,1,Yes
66,2.905169,1,Yes
67,2.956300,1,Yes
68,1.749381,1,Yes
69,4.512472,1,Yes
70,3.684606,1,Yes
71,1.195757,1,Yes
72,2.692300,1,Yes
73,4.912638,1,Yes
74,1.225666,1,Yes
75,3.436388,1,Yes
76,4.404005,1,Yes
77,4.860102,1,Yes
78,2.357982,1,Yes
79,1.017529,1,Yes
80,1.673757,1,Yes
81,3.461032,1,Yes
82,4.265354,1,Yes
83,2.973423,1,Yes
84,1.869809,1,Yes
85,1.238108,1,Yes
86,3.774651,1,Yes
87,0.793370,1,Yes
88,2.160740,1,Yes
89,2.415401,1,Yes
90,4.823011,1,Yes
91,3.895733,1,Yes
92,3.897832,1,Yes
93,0.712739,1,Yes
94,1.912629,1,Yes
95,2.116240,1,Yes
96,3.459750,1,Yes
97,3.598115,1,Yes
98,1.768533,1,Yes
99,3.952929,1,Yes
100,4.227916,1,Yes
101,3.196436,1,Yes
102,2.208557,1,Yes
103,4.328028,1,Yes
104,2.194335,1,Yes
105,4.955603,1,Yes
106,3.054044,1,Yes
107,4.722947,1,Yes
108,3.573279,1,Yes
109,4.913908,1,Yes
110,4.880856,1,Yes
111,3.085709,1,Yes
112,0.998043,1,Yes
113,3.160424,1,Yes
114,0.942970,1,Yes
115,4.672355,1,Yes
116,1.763774,1,Yes
117,3.095196,1,Yes
118,4.323798,1,Yes
119,2.002960,1,Yes
120,1.045752,1,Yes
121,2.864819,1,Yes
122,4.256866,0,No
123,2.386000,1,Yes
124,2.128293,1,Yes
